4227,-8996,8051,-1031,-2552,-2599
4089,-8967,8091,-765,-1635,-1325
4352,-8993,8236,-622,-987,-84
4456,-9096,8618,-438,327,1617
3354,-9704,9720,-217,1199,3158
2649,-10427,10616,353,1274,4055
3118,-11611,12482,1162,1711,4269
1892,-12433,14622,2196,1798,3893
696,-12856,16656,2549,-469,2828
1761,-13216,17758,2199,-2931,1737
3552,-13772,17387,1426,-2897,1186
3251,-14127,16235,981,-1404,1103
1079,-13439,14811,377,-653,1255
-504,-13330,13492,0,-1668,970
-1256,-12162,12255,-301,-3045,290
-814,-11375,11166,-706,-3806,-296
170,-10990,10420,-771,-3420,-414
946,-10370,9978,-581,-2355,-459
1412,-9579,9661,-201,-962,-561
1586,-8948,9738,-83,-62,-881
2080,-8898,9939,-56,253,-1052
2934,-9444,10979,339,350,-869
3250,-9706,11554,1130,143,-624
3810,-9504,12392,1798,0,-28
4365,-9407,12859,2092,735,753
3842,-9558,13168,2203,2310,1709
2176,-10658,13492,2118,3073,2469
514,-11928,14191,2333,2078,2878
180,-12583,14701,2236,451,2779
1277,-13428,15055,1759,132,2207
1068,-13994,15440,1287,1136,1697
-141,-14234,16098,1041,909,1003
-1084,-12517,16358,757,-640,-494
-269,-10730,16115,72,-2216,-2047
1168,-9290,15006,-364,-2872,-3330
2756,-8372,13192,-803,-2579,-3921
3861,-8258,11620,-814,-1674,-3487
3773,-8169,10338,-516,-921,-2450
3576,-8362,9443,-31,-673,-1256
3529,-8423,8809,622,-149,-66
3556,-8342,8644,1425,873,1127
2845,-8211,8279,2093,2027,2178
2935,-8487,7645,3100,3419,3092
3312,-8894,7553,5349,5976,4301
1798,-9240,10057,8589,6940,5146
63,-11008,12858,12439,3768,4286
1763,-12582,16441,17112,-1220,1847
4103,-12405,20925,21764,-5504,517
3207,-11093,25034,25606,-11199,-202
1907,-8144,25976,27598,-19221,-1385
1747,-5644,23612,27302,-26584,-2814
232,-3398,21876,25358,-31567,-3572
-1186,-1468,19690,22107,-32768,-4599
4663,-167,15909,17807,-28535,-8598
8247,-627,13402,13293,-11226,-9860
768,-2039,10318,10762,671,-10157
951,-3356,3036,7391,-3379,-18533
4985,-2540,3143,6480,5686,-21176
2647,-4203,4561,7968,17421,-22672
-4904,-2864,8085,10989,20927,-23649
-10104,1524,11169,10408,19384,-26505
-9043,3292,13042,4617,22944,-29433
-13128,-1327,16841,1444,30576,-29584
-24990,-451,22645,2304,27767,-31187
-25888,3252,30326,-644,15310,-32768
-19412,6107,32767,-6366,12423,-32768
-23444,9733,32767,-5591,13696,-32768
-29938,21927,32767,-1361,10776,-32768
-32045,31483,32508,-1052,1237,-32768
-20501,32328,27192,-5523,-16299,-32768
-4117,26133,19589,-9585,-19445,-32109
337,21359,14153,-11231,-17687,-25503
1764,17147,8004,-12677,-16945,-18300
2802,12656,3310,-14501,-15017,-12157
2672,8567,-1859,-12731,-12605,-6266
3796,5418,-3790,-7473,-8084,-2167
5028,4368,-3184,-1463,-1204,2312
2862,4496,-371,2885,5514,6876
606,4981,2593,5620,7910,11126
930,6692,4918,8000,10040,15641
-688,10640,9133,9805,13372,20857
-4464,14324,13814,10346,14981,25885
-7684,18777,20211,9051,15218,28581
-10586,17840,28047,7597,13546,31069
-14077,15867,32757,7371,7111,32767
-16770,16424,32767,5391,655,32767
-23417,6169,28496,-8315,-7225,32767
-28857,514,18941,-8101,-15810,32648
-24959,-4329,10368,-6008,-26826,29309
-12528,-6520,5195,-4038,-24020,23513
-10460,-8497,2250,-704,-13488,19173
-14671,-8137,1311,4072,-10914,14103
-11639,-7359,1073,6041,-12205,7432
-5861,-6345,2468,7184,-9302,1254
-2938,-3724,5396,6369,-2154,-2636
-4008,-3068,6968,2758,4585,-5587
-4844,-3488,7634,-997,9569,-8638
-6220,-3055,7892,-3728,14671,-11490
-8653,-5054,8031,-5565,19449,-14582
-12127,-6774,9260,-5102,22151,-18119
-15476,-5637,12479,-3615,22235,-21562
-19685,-4529,19034,-585,20625,-24172
-22237,161,27928,2576,18884,-30418
-27884,7390,32767,3481,13613,-32768
-24648,12153,32767,620,5857,-32768
-21508,14196,32767,-1784,3820,-32768
-19883,16303,31316,-2618,805,-32768
-14272,16044,25774,-3357,-4792,-32768
-8276,15064,20339,-4250,-9043,-32044
-5961,13781,15447,-5813,-13213,-26934
-2847,11589,10380,-6968,-16812,-21151
998,9448,6664,-7225,-17379,-15776
2933,8762,3401,-7252,-14749,-9543
3194,7567,629,-7063,-9972,-3856
3979,5375,-2096,-5856,-2596,86
4871,3696,-2184,-2407,5540,4621
4181,6548,9188,159,11140,21210
1983,5795,13602,-1048,14985,28294
-4650,6500,22938,82,16354,32591
-16265,11378,32258,-1255,12890,32767
-21708,14810,32767,-10128,4581,31915
