15538,-7842,4119,10086,-1205,21527
16302,-6670,3429,11312,-956,25374
15731,-6154,2614,10901,2879,30800
13679,-6180,2426,10046,9270,32767
8474,-5379,1847,9580,15829,32767
3039,-4728,1014,9427,18259,32767
-3198,-4959,1760,10096,16033,32767
-6780,-5891,2390,11510,11184,32767
-5684,-6989,3064,14703,8719,32767
-4762,-4106,5011,19943,13129,32767
-7701,978,3229,21453,19352,32767
-10073,4232,-336,19244,16139,32767
-8829,4397,2691,20053,14454,32767
-13738,8465,6368,25123,17172,32767
-20234,16133,8432,20498,17858,32767
-23619,13452,9988,9514,16322,32767
-28254,12870,10947,6930,12392,32767
-24504,16488,14315,2520,10981,32656
-18180,17520,15180,-6386,22269,28030
-22989,17192,10712,-15646,31149,22148
-25565,11728,8567,-22139,30207,16535
-28095,7303,8067,-21855,25447,12087
-29410,7292,8910,-20721,19923,5272
-27446,6992,9614,-19651,17221,-1655
-29936,9218,10677,-16909,12949,-7987
-28821,10824,10951,-17711,5717,-14662
-24384,9708,12213,-18851,2184,-19633
-23494,9825,13089,-18817,2602,-24520
-25002,10644,12566,-19308,2035,-29126
-26739,10270,11272,-20155,-1621,-32249
-25444,8440,10153,-20391,-5013,-32768
-24418,6222,10023,-18974,-6617,-32768
-27038,4735,8192,-16527,-7848,-32768
-26171,3704,5789,-14859,-11462,-32768
-21483,1358,3981,-14193,-13628,-32768
-18809,-1121,3258,-11550,-15067,-32768
-15678,-2275,1444,-8987,-15286,-32768
-12885,-2269,422,-6118,-12675,-32768
-11160,-2311,-872,-3412,-10895,-32768
-9854,-2227,-360,-798,-10290,-32768
-7573,-547,-750,268,-11605,-32768
-3256,232,364,595,-13283,-32768
175,1608,242,1379,-13787,-32768
3663,1834,-244,1623,-13220,-32768
6157,1643,-564,2873,-13308,-32409
8174,1052,596,4714,-15084,-28563
9403,-730,1224,5371,-18137,-24432
10921,-2255,1007,6034,-22232,-21441
12288,-2340,1688,6790,-25645,-18192
14876,-1889,2051,6872,-27036,-15366
20317,-677,2596,4659,-21835,-14944
24225,-3075,2731,1060,-12347,-12681
24236,-6431,1920,635,-6070,-7646
18513,-5987,1679,788,-2292,-5556
14651,-6192,1068,1142,-4215,-5460
15600,-6041,675,2647,-7960,-5223
17105,-5541,757,3090,-9018,-4300
17319,-5328,506,3055,-9030,-3610
18200,-4679,839,3010,-7812,-3145
18640,-4076,948,2706,-5886,-1964
18372,-3999,666,1725,-3880,-413
17753,-4388,531,1064,-2483,1120
16692,-3670,1065,961,-2112,2663
16016,-4013,942,510,-2405,3921
15599,-4182,686,28,-2509,4863
16071,-4179,671,-657,-1713,5338
16424,-5296,-212,-1622,398,5766
16383,-5746,-516,-2180,2536,5704
16116,-5758,-807,-2731,4720,5158
15484,-5194,-1186,-3223,5445,5347
15417,-7113,-2584,-11704,18399,22433
13634,-8144,-4438,-10172,22254,27626
12850,-8337,-5907,-7383,28375,32078
10798,-8951,-6320,-2896,32730,32767
6899,-9128,-5721,2711,32767,32767
546,-8754,-962,9122,32718,32767
-10200,-6759,2236,14666,15041,32767
-8016,-7986,3105,21239,15886,32767
-7199,-4942,3679,26031,19542,32767
-9448,-1642,3075,28033,20325,32767
-12669,23,2606,29918,19282,32767
-14450,484,2291,32073,15872,32767
-14279,597,2076,32767,10214,32767
-14948,2599,2949,32767,7565,32767
-18109,6942,3188,32767,6417,31227
-17278,8694,3543,32767,3152,27545
-23475,10019,3582,32767,1985,24761
-30628,13813,4087,30930,-7076,18790
-27551,14664,5287,27241,-14085,12166
-30333,17002,5884,23070,-12878,3475
-32025,19483,6656,17167,-10482,-7254
-29237,19465,6673,11378,-8705,-15495
-25836,14840,7493,5771,-7891,-20404
-24632,12020,7413,2903,-9915,-23895
-22811,11286,7358,-85,-11023,-27771
-23862,8968,8050,-2192,-7699,-31115
-29716,6530,7764,-738,-6601,-32676
-32768,6640,6717,1627,-11793,-32768
-32768,9410,4629,1749,-16627,-32768
-30807,11960,2820,-224,-13740,-32768
-27603,9734,386,-1273,-11639,-32768
-22139,8669,242,-1553,-11864,-32768
